claim_id,policy_id,claim_number,edad,zona,anios_vehiculo,cobertura,historial_siniestros,tipo_uso,severidad,severidad_esperada_real
1,9,1,29,5,14,0,1,1,4433.688778726388,11150.61575469762
2,11,1,48,4,7,0,0,0,3579.68921255527,9276.59648104672
3,14,1,61,4,7,1,0,1,4795.235855581451,13296.4186032912
4,18,1,25,4,3,2,0,1,8081.880600788936,18164.96467537078
5,18,2,25,4,3,2,0,1,8610.168138320367,18164.96467537078
6,20,1,43,3,6,0,2,1,19827.95994854781,8293.687813027842
7,41,1,27,3,13,0,0,0,5256.54980959789,9020.454501679225
8,52,1,29,4,2,2,4,0,16300.04447743271,17948.28776087006
9,58,1,26,3,17,2,2,0,13492.092558472628,17948.28776087009
10,63,1,38,5,6,1,0,0,14449.664288102796,15112.084488687642
11,64,1,73,5,15,0,0,2,11713.943237789179,13111.565732196494
12,68,1,39,3,2,2,0,0,6458.899097895094,14991.670112492284
13,73,1,44,2,6,0,0,1,8962.08486523626,7504.439066736405
14,74,1,25,5,17,1,1,0,10199.513282879258,17244.525331510835
15,78,1,30,5,10,1,0,0,9206.31622443645,15855.155586315179
16,80,1,56,4,10,0,1,0,6984.462057448264,9616.637977614208
17,95,1,69,5,6,1,1,1,20270.685938038125,15112.084488687642
18,97,1,31,5,19,1,1,1,10769.701068072683,17663.40033368609
19,101,1,65,5,9,1,1,1,14164.29504370319,15666.030737862866
20,103,1,63,5,12,1,0,1,17423.339078167377,16240.282355712054
21,123,1,55,4,1,0,2,1,8546.324667788009,8632.159633587491
22,143,1,33,3,11,0,2,1,8460.310138622952,8806.540825510823
23,160,1,62,4,14,0,2,2,4656.571872833176,11722.320049708742
24,162,1,55,1,10,0,1,1,6566.774852431879,7124.180635516386
25,163,1,41,3,19,1,2,1,6938.938283187629,13349.710791023594
26,174,1,59,4,13,2,4,1,6687.6262814648535,20480.940480531146
27,185,1,46,5,3,2,2,1,14494.760862162708,21747.411109848224
28,188,1,39,2,12,2,1,0,9123.73043660654,14118.62321114021
29,195,1,72,5,17,1,2,1,75516.50922773484,17244.525331510835
30,197,1,37,4,19,2,0,0,32367.493925425435,22009.95213885567
31,198,1,24,5,2,0,2,1,12776.54124987314,9655.181565308612
32,201,1,38,2,9,0,0,0,5344.103558981476,7779.520633167196
33,203,1,46,5,15,1,1,1,13070.393437172645,16835.583652712285
34,222,1,43,1,7,1,0,1,30895.396329759442,8736.369558222228
35,226,1,35,4,6,0,4,1,5553.80560314318,9165.942574556786
36,230,1,28,1,0,1,0,1,7944.286748517999,8032.491236627475
37,236,1,59,4,10,2,2,0,46756.9080553008,19756.740435949912
38,236,2,59,4,10,2,2,0,11406.860765273594,19756.740435949912
39,247,1,61,2,0,2,1,0,11411.587961875015,12225.142857990617
40,266,1,51,2,9,0,1,1,6621.11511638308,7779.520633167196
41,267,1,43,2,12,0,4,0,4252.105164445498,8064.685547269543
42,269,1,52,2,6,0,1,1,9879.566337547973,7504.439066736405
43,270,1,51,5,11,0,1,0,5006.908958773224,10756.333254129051
44,271,1,34,5,5,0,4,0,13183.539588394797,10009.100418608576
45,271,2,34,5,5,0,4,0,10897.093833574538,10009.100418608576
46,280,1,22,5,0,2,1,1,29550.819816944906,20978.42903550213
47,284,1,45,3,16,2,0,1,13700.512615064308,17734.195430821725
48,287,1,27,4,17,2,1,0,22884.132463704485,21488.001745620342
49,307,1,35,4,3,0,2,0,13365.060260120717,8841.837535169914
50,312,1,56,1,6,2,1,1,4346.397285444876,10973.625599636809
51,314,1,34,2,9,1,0,0,4552.127731224262,10293.315675437725
52,326,1,31,1,7,0,1,0,8135.273736182665,6872.271699071312
53,328,1,20,3,10,0,1,0,11762.140909068714,8701.493877850995
54,334,1,65,2,18,1,0,2,12339.091053796757,13323.0380510724
55,361,1,66,3,11,2,1,1,23812.732772314524,16701.436288399727
56,368,1,36,4,0,1,1,1,8610.942894784803,12225.142857990617
57,376,1,23,3,6,0,0,1,14313.049308771944,8293.687813027842
58,393,1,38,4,7,2,0,1,15741.535460765394,19058.147892404617
59,406,1,46,1,8,2,0,0,6296.16818496698,11240.178453864659
60,407,1,42,2,10,0,2,1,14819.18945831639,7873.437253490392
61,407,2,42,2,10,0,2,1,10665.585996590677,7873.437253490392
62,409,1,71,2,12,0,1,1,5411.811446232981,8064.685547269543
63,411,1,27,4,2,2,0,1,12177.556228856469,17948.28776087006
64,414,1,25,1,10,1,1,1,10834.408650243344,9056.608579636397
65,415,1,19,2,8,0,2,0,3811.1950700744146,7686.7242772582385
66,429,1,19,2,3,0,0,0,7422.646025006229,7239.084303762823
67,436,1,25,1,0,0,3,1,4950.291336602054,6318.581400504115
68,436,2,25,1,0,0,3,1,6112.668664786284,6318.581400504115
69,441,1,73,3,8,0,0,1,2402.5226449907946,8495.144126491869
70,461,1,59,5,9,1,0,1,8177.4514610070855,15666.030737862866
71,463,1,60,1,18,1,0,0,9852.87266625134,9969.1439830804
72,473,1,42,4,12,1,0,0,21653.856929526028,14118.62321114021
73,476,1,62,1,3,1,0,0,6659.940506568797,8326.929002336978
74,493,1,60,1,19,2,4,1,16406.048915849253,12826.261143753285
75,528,1,26,5,4,1,1,0,5614.666744991755,14753.712130959919
76,542,1,21,5,13,1,2,1,11039.919767280948,16436.339735576883
77,551,1,63,5,6,1,0,0,15152.500123816373,15112.084488687642
78,555,1,74,5,2,1,0,2,13900.76127836842,16734.872586128775
79,557,1,59,4,8,2,1,1,25221.18466029581,19288.223359014166
80,562,1,20,5,13,2,0,0,18301.176578254624,24520.137556356232
81,568,1,32,2,19,1,0,1,8708.751931904537,11605.68101636866
82,585,1,41,3,10,2,1,0,20322.733042531247,16502.216760733514
83,614,1,39,5,10,0,1,1,6798.343382413192,10628.02862252103
84,625,1,52,5,12,0,1,0,5680.453544499287,10886.1868163127
85,627,1,37,2,10,0,0,1,8740.031947431651,7873.437253490392
86,628,1,38,4,19,1,2,0,7769.509210723822,15355.822545236037
87,631,1,60,1,1,1,0,1,15247.899199429103,8129.461791150284
88,646,1,36,5,4,0,1,0,3086.6760009459085,9889.708994821636
89,654,1,63,4,4,0,0,1,6528.688540613279,8948.578752001418
90,655,1,49,2,7,0,1,1,15972.836280882315,7595.03482292793
91,659,1,22,1,3,1,0,1,21220.248247871717,8326.929002336978
92,687,1,41,4,19,2,3,0,17994.365023514336,22009.95213885567
93,690,1,62,2,7,2,4,1,20977.068250041677,13296.4186032912
94,701,1,47,3,8,2,1,1,21211.81651231767,16110.878402831602
95,708,1,50,4,14,2,0,0,13597.662976878122,20728.192310261038
96,709,1,45,4,4,0,0,0,9946.378346878832,8948.578752001418
97,713,1,59,4,15,0,0,0,5465.044930181954,10211.297659526826
98,723,1,66,1,10,2,1,0,4191.81150056414,11513.205961656337
99,724,1,24,1,10,1,1,1,10273.742160327405,9056.608579636397
100,726,1,24,1,3,0,0,0,7675.06746874907,6550.1943503613975
101,727,1,59,4,15,0,0,1,4573.295774895741,10211.297659526826
102,728,1,22,5,13,1,1,0,13062.443741213774,16436.339735576883
103,730,1,55,5,1,2,2,1,9505.619053536348,21231.686690775234
104,733,1,70,2,17,0,0,0,5711.720297101081,8563.37785048697
105,736,1,56,4,8,1,2,1,9099.19306285947,13456.936809554429
106,737,1,59,1,0,0,1,0,8163.871436341295,6318.581400504115
107,752,1,26,4,15,1,0,0,9556.244877733547,14636.153296230952
108,754,1,71,2,11,1,0,1,4527.905852793903,10543.343585342616
109,756,1,42,4,5,0,2,1,20003.259894558985,9056.60857963643
110,760,1,59,5,0,0,4,1,10638.123214760115,9426.215787328809
111,787,1,19,1,8,2,2,1,15816.58865978659,11240.178453864659
112,791,1,23,4,11,1,2,1,16755.891949737328,13950.21221948351
113,792,1,43,3,8,2,1,1,23238.74133611115,16110.878402831602
114,797,1,73,2,12,0,0,1,8814.035921928345,8064.685547269543
115,798,1,44,4,18,1,4,1,16845.180830213234,15172.653884675214
116,800,1,43,1,16,2,0,1,11407.518200910934,12372.728314001351
117,802,1,35,4,18,1,1,1,10244.470071874848,15172.653884675214
118,807,1,49,4,19,2,2,0,30812.295798220173,22009.95213885567
119,811,1,20,2,2,1,0,0,7033.6999835579745,9463.996160851331
